Acteur,averageRating
Art LaFleur,7.8
Jared Gilman,7.8
Roland MÃ¸ller,7.8
Jeanne Moreau,7.8
Paul Sanchez,7.8
Terence Alexander,7.8
Jeff Cohen,7.8
Pavel Ponomaryov,7.8
Peter Ostrum,7.8
Teresa Mo,7.8
Rex Harrison,7.8
Ernst Jacobi,7.8
Jean Seberg,7.8
Jamie Chung,7.8
Tom Guiry,7.8
Barry Keoghan,7.8
Barkhad Abdi,7.8
Andreas Wilson,7.8
Kara Hayward,7.8
Barkhad Abdirahman,7.8
Nicolas Bro,7.8
David Tomlinson,7.8
Nimrat Kaur,7.8
Joel Basman,7.8
Jane Alexander,7.8
Raoul Max Trujillo,7.8
Jin Goo,7.8
Alan Ruck,7.8
Robert Gulaczyk,7.8
Oksana Akinshina,7.8
Janelle MonÃ¡e,7.8
Dana Delany,7.8
Scott Adsit,7.8
Sam Waterston,7.8
Sabrina Ferilli,7.8
Danny Lee,7.8
Sally Yeh,7.8
Tony Chiu-Wai Leung,7.788888888888888
Mark Hamill,7.779999999999999
Kajol,7.775
Audrey Hepburn,7.766666666666667
John Wayne,7.766666666666667
Gregory Peck,7.766666666666667
Zbigniew Zamachowski,7.75
Peter Sellers,7.75
Andy Lau,7.75
Atsuko Tanaka,7.75
Jack Lemmon,7.75
Akio Ã”tsuka,7.75
Freida Pinto,7.75
Geraldine Chaplin,7.75
Keir Dullea,7.75
Janet Leigh,7.733333333333333
Franka Potente,7.725
Charles Bronson,7.725
Ian McKellen,7.718181818181819
Stanley Baker,7.7
Annie Potts,7.7
Sarah Berry,7.7
Bahar Pars,7.7
Jo Hartley,7.7
Rob Maxey,7.7
Donna Murphy,7.7
Riisa Naka,7.7
Tokiko KatÃ´,7.7
Ricky Adelayitor,7.7
Chulpan Khamatova,7.7
Lee Marvin,7.7
Salim Kechiouche,7.7
Joanna Cassidy,7.7
Honor Blackman,7.7
Marilyn Ghigliotti,7.7
Emmanuel Affadzi,7.7
Marina de Tavira,7.7
Abbi Jacobson,7.7
Dave Goelz,7.7
Sara Takatsuki,7.7
Tony Moran,7.7
Rolf LassgÃ¥rd,7.7
Cleavon Little,7.7
Bernard-Pierre Donnadieu,7.7
Veerle Baetens,7.7
Russell Means,7.7
Jean Sorel,7.7
Christopher Adamson,7.7
Christian Berkel,7.7
Diego Cortina Autrey,7.7
Mackenzie Foy,7.7
Madeline Carroll,7.7
Herbert Knaup,7.7
David Herman,7.7
Jim Kelly,7.7
Lisanne Falk,7.7
Steve Whitmire,7.7
Yalitza Aparicio,7.7
Roberta Maxwell,7.7
Jean Heywood,7.7
Helmut Qualtinger,7.7
AdÃ¨le Exarchopoulos,7.7
Manisha Koirala,7.7
Roman Polanski,7.7
Ian Hendry,7.7
Johanna ter Steege,7.7
Jane Lynch,7.7
Judd Hirsch,7.7
Mina Sadati,7.7
Patrick Horgan,7.7
Golshifteh Farahani,7.7
Katrin SaÃŸ,7.7
Jack Hawkins,7.7
Jacques Villeret,7.7
Katsunosuke Hori,7.7
Michel Piccoli,7.7
Thierry Lhermitte,7.7
ShÃ»ichirÃ´ Moriyama,7.7
Tom Prior,7.7
Aitana SÃ¡nchez-GijÃ³n,7.7
Chete Lera,7.7
John Saxon,7.7
Takuya Ishida,7.7
Griffin Dunne,7.7
Wah Yuen,7.7
Gene Bervoets,7.7
Geoffrey Arend,7.7
Mitsutaka Itakura,7.7
Nell Cattrysse,7.7
Bunshi Katsura Vi,7.7
Kang-ho Song,7.7
Shelley Duvall,7.7
Callan McAuliffe,7.7
Gert FrÃ¶be,7.7
Dan Hicks,7.7
Justin Braine,7.7
Kasumi Arimura,7.7
Ali Mosaffa,7.7
Bruce Lee,7.7
Jack Kehoe,7.7
Jack McBrayer,7.7
Oliver Stokowski,7.7
Yoshino Kimura,7.7
John Randolph,7.7
John Hodgman,7.7
Qiu Yuen,7.7
Slim Pickens,7.7
Filip Berg,7.7
Georges Adet,7.7
John Belushi,7.7
Ulla Jacobsson,7.7
Cori Gonzalez-Macuer,7.7
Ranbir Kapoor,7.7
Mary Tyler Moore,7.7
John Lurie,7.7
Jane Adams,7.7
Isabella Rossellini,7.7
Masaki Okada,7.7
Tahar Rahim,7.7
Isabelle Adjani,7.7
Abraham Attah,7.7
TÃ´ru Emori,7.7
Bradley Whitford,7.7
Piper Laurie,7.7
Dwight Yoakam,7.7
Takako Matsu,7.7
Francis Huster,7.7
Thomas Turgoose,7.7
Thom Hoffman,7.7
John Fraser,7.7
Rani Mukerji,7.699999999999999
Ellen DeGeneres,7.699999999999999
Stephen Graham,7.666666666666667
Marie-JosÃ©e Croze,7.666666666666667
BelÃ©n Rueda,7.666666666666667
William Holden,7.666666666666667
Takeshi Kaneshiro,7.666666666666667
James Garner,7.666666666666667
Steve McQueen,7.659999999999999
John Cleese,7.659999999999999
Lauren Bacall,7.65
Omar Sy,7.65
Samantha Morton,7.65
Tom Berenger,7.65
Marisa Paredes,7.65
Alan Tudyk,7.65
Javier CÃ¡mara,7.65
Lee Byung-hun,7.65
Derek Jacobi,7.65
Rajkummar Rao,7.6499999999999995
Bruno Ganz,7.6499999999999995
Bonnie Bedelia,7.6499999999999995
Olivia Colman,7.633333333333333
James Earl Jones,7.633333333333333
Awkwafina,7.633333333333333
Richard Burton,7.625
Marlon Brando,7.62
TimothÃ©e Chalamet,7.6000000000000005
Payman Maadi,7.6000000000000005
Jessica Tandy,7.6000000000000005
Tomasz Kot,7.6
Danai Gurira,7.6
Antonio Resines,7.6
Roberts Blossom,7.6
Brooklynn Prince,7.6
Tugba Sunguroglu,7.6
Julieta Serrano,7.6
YÃ»suke Iseya,7.6
Gary Stretch,7.6
Juan MinujÃ­n,7.6
Gary Farmer,7.6
Pascal Benezech,7.6
Pascal Greggory,7.6
Patricia Neal,7.6
Elena Anaya,7.6
Paul McCartney,7.6
O.J. Simpson,7.6
Tim McGraw,7.6
Ann Owens,7.6
Ned Beatty,7.6
Wiley Wiggins,7.6
Trine Dyrholm,7.6
Shin Ha-kyun,7.6
Yu-mi Jung,7.6
Karl Markovics,7.6
Nam-mi Kang,7.6
Nazanin Boniadi,7.6
Satomi Hanamura,7.6
Tatsuya Fujiwara,7.6
