primaryTitle,startYear,genre1,genre2,genre3,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Mexican,2001,Adventure,Comedy,Crime,6.1,106513.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Meyerowitz Stories,2017,Comedy,Drama,,6.9,46337.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Midnight Meat Train,2008,Action,Adventure,Horror,6.0,62998.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Midnight Sky,2020,Drama,Fantasy,Sci-Fi,5.6,78663.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Mighty Ducks,1992,Comedy,Drama,Family,6.6,63747.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Missing,2003,Adventure,Thriller,Western,6.5,34842.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
The Mission,1986,Adventure,Drama,History,7.4,59509.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Mist,2007,Horror,Sci-Fi,Thriller,7.1,293418.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
The Money Pit,1986,Comedy,,,6.4,55132.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Monster Squad,1987,Action,Comedy,Fantasy,7.0,31401.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Monuments Men,2014,Comedy,Drama,History,6.1,128803.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Mortal Instruments: City of Bones,2013,Action,Adventure,Fantasy,5.9,130712.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Mosquito Coast,1986,Adventure,Drama,Thriller,6.6,28315.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
